Manufacturer,Model,SystemID,Security Level
Asus,ASUS_Z00RD_2,6097,L1
Asus,ASUS_Z00RD_3,6098,L1
Asus,ASUS_Z00RD_4,6177,L1
Asus,ASUS_Z00RD_5,6178,L1
Asus,ASUS_Z00RD_6,6224,L1
Asus,ASUS_Z00RD_7,6244,L1
Asus,ASUS_Z00T,6257,L1
Asus,ASUS_Z00U_1,6240,L1
Asus,ASUS_Z00U_2,6337,L1
Asus,ASUS_Z00W_63,6208,L1
Asus,ASUS_Z010,6376,L1
Asus,ASUS_Z010_2,6539,L1
Asus,ASUS_Z010_CD,6610,L1
Asus,ASUS_Z011,6362,L1
Asus,ASUS_Z012D,6648,L1
Asus,ASUS_Z017D_1,6649,L1
Asus,ASUS_Z01F_1,6947,L1
Asus,ASUS_Z01GD_1,7342,L1
Asus,ASUS_Z01H_1,7000,L1
Asus,ASUS_Z01KD_1,7388,L1
Asus,ASUS_Z01KD_2,7422,L1
Asus,ASUS_Z01KD_3,7915,L1
Asus,ASUS_Z01KDA,7423,L1
Asus,ASUS_Z01M_1,7357,L1
Asus,ASUS_Z01QD_1,8383,L1
Asus,ASUS_Z01R_1,8026,L1
Asus,ASUS_ZENBO,7052,L1
Asus,deb,4188,L1
Asus,flo,4187,L1
Asus,FUGU,5771,L1
Asus,gamebox,5190,L1
Asus,K004,4265,L1
Asus,K007,5595,L1
Asus,K007,5767,L1
Asus,K007,6126,L1
Asus,K00C,4386,L1
Asus,K00C,5144,L1
Asus,K00C,5740,L1
Asus,K00E,4371,L1
Asus,K00E,5179,L1
Asus,K00E,5312,L1
Asus,K00G,4412,L1
Asus,K00G,4484,L1
Asus,K00G,5810,L1
Asus,K00R,5596,L1
Asus,K00R,5768,L1
Asus,K00R,6127,L1
Asus,K00S,4425,L1
Asus,K00X,5850,L1
Asus,K00Y,5129,L1
Asus,K00Y,5960,L1
Asus,K00Z,5128,L1
Asus,K00Z,5912,L1
Asus,K010,5446,L1
Asus,K010,5586,L1
Asus,K010,5733,L1
Asus,K010_1,5552,L1
Asus,K010E,6020,L1
Asus,K011,5500,L1
Asus,K011,5921,L1
Asus,K011,6029,L1
Asus,K011_1,5565,L1
Asus,K011_1,5844,L1
Asus,K011_1,6030,L1
Asus,K012,5358,L1
Asus,K012,5737,L1
Asus,K012,6000,L1
Asus,K012,6035,L1
